Order_number,Sku,Customer_Id,Sales_Quantity,Ordered_Month
70001,11011847,164,1,2023-03
70001,11012063,164,9,2023-03
70001,11013103,164,5,2023-03
70001,11010582,164,13,2023-03
70001,11010096,164,13,2023-03
70001,15003592,164,8,2023-03
70001,11018452,164,7,2023-03
70001,11013104,164,5,2023-03
70001,11017423,164,12,2023-03
70001,11010112,164,13,2023-03
70001,15004341,164,5,2023-03
70001,11010780,164,9,2023-03
70004,11010614,166,7,2023-01
70004,11010109,166,9,2023-01
70004,11014222,166,11,2023-01
70004,11017133,166,12,2023-01
70004,110750937,166,13,2023-01
70004,11014348,166,11,2023-01
70004,11016457,166,9,2023-01
70004,11016445,166,10,2023-01
70004,11015641,166,12,2023-01
70004,11018221,166,5,2023-01
70004,11013676,166,9,2023-01
70004,11013993,166,8,2023-01
70004,11016619,166,13,2023-01
70004,11016543,166,11,2023-01
70004,11016543,166,13,2023-01
70004,15003527,166,7,2023-01
70007,15003507,169,7,2023-03
70007,11011847,169,6,2023-03
70007,11010802,169,6,2023-03
70007,11016974,169,13,2023-03
70007,11010580,169,8,2023-03
70007,15003568,169,10,2023-03
70007,11010096,169,8,2023-03
70007,11011455,169,8,2023-03
70007,11015506,169,10,2023-03
70007,11017946,169,6,2023-03
70007,15002914,169,8,2023-03
70007,110300872,169,11,2023-03
70007,11014401,169,5,2023-03
70007,11017796,169,5,2023-03
70007,11016622,169,5,2023-03
70007,11013844,169,13,2023-03
70007,15004316,169,6,2023-03
70007,111201913,169,11,2023-03
70007,15000105,169,11,2023-03
70007,11018667,169,8,2023-03
70007,11010608,169,13,2023-03
70007,13131260,190,11,2023-03
70010,15003507,190,7,2023-06
70010,15003527,190,5,2023-06
70010,15003540,190,6,2023-06
70010,11012063,190,7,2023-06
70010,11013147,190,11,2023-06
70010,11018379,190,11,2023-06
70010,11019352,190,13,2023-06
70010,11013073,190,6,2023-06
70010,15003546,190,11,2023-06
70010,15003891,190,13,2023-06
70010,15003687,190,6,2023-06
70010,11010101,190,11,2023-06
70010,11011881,190,9,2023-06
70010,11015482,190,8,2023-06
70010,11015483,190,7,2023-06
70010,11011890,190,12,2023-06
70010,11013221,184,10,2023-06
70010,11012866,184,13,2023-06
70010,11015667,184,9,2023-06
70010,15003592,184,7,2023-06
70010,109150264,184,11,2023-06
70010,11016447,184,5,2023-06
70010,11015641,184,8,2023-06
70010,11018030,184,5,2023-06
70010,11012876,184,10,2023-06
70010,11016611,184,12,2023-06
70010,11013302,184,8,2023-06
70010,11016110,184,8,2023-06
70010,11015099,184,7,2023-06
70010,110300910,184,13,2023-06
70010,11015217,184,13,2023-06
70010,11018681,184,12,2023-06
70010,11018682,184,11,2023-06
70010,11019055,184,13,2023-06
70010,11015773,184,6,2023-06
70010,11011762,184,12,2023-06
70013,15003531,187,8,2023-05
70013,11010083,187,10,2023-05
70013,11017096,187,6,2023-05
70013,102300012,187,11,2023-05
70013,111600931,187,11,2023-05
70013,11018485,187,9,2023-05
70016,15003728,196,10,2023-04
70016,15003732,196,7,2023-04
70016,15003551,196,13,2023-04
70016,11015546,196,8,2023-04
70016,11015560,196,12,2023-04
70016,11015561,196,5,2023-04
70016,11015565,196,13,2023-04
70016,11015581,196,8,2023-04
70016,102300012,196,9,2023-04
70016,11013104,196,10,2023-04
70016,105650069,196,5,2023-04
70016,105650077,196,9,2023-04
70016,111600931,196,8,2023-04
70016,15003531,196,11,2023-04
70016,15003505,196,11,2023-04
70019,11013826,198,11,2023-02
70019,15003523,198,10,2023-02
70019,15003522,198,5,2023-02
70019,15003525,198,10,2023-02
70019,11012466,198,11,2023-02
70019,11012777,198,5,2023-02
70019,15003893,198,9,2023-02
70019,15004236,198,11,2023-02
70019,15003654,198,12,2023-02
70019,11010112,198,9,2023-02
70019,11010118,198,12,2023-02
70019,11013104,198,8,2023-02
70019,11011452,198,6,2023-02
70019,11011455,198,10,2023-02
70019,11018532,198,6,2023-02
70019,11018833,198,8,2023-02
70019,11018837,198,5,2023-02
70022,11014875,200,5,2023-05
70022,15004132,200,9,2023-05
70022,15003437,200,9,2023-05
70022,15003436,200,9,2023-05
70022,15003592,200,11,2023-05
70022,15004237,200,7,2023-05
70022,11019041,200,5,2023-05
70022,11019185,200,13,2023-05
70022,15002916,200,7,2023-05
70022,15002921,200,7,2023-05
70022,15002922,200,6,2023-05
70022,11010565,200,7,2023-05
70025,15003524,202,9,2023-06
70025,15003527,202,7,2023-06
70025,15003526,202,9,2023-06
70025,15003523,202,5,2023-06
70025,11010802,202,13,2023-06
70025,11011964,202,5,2023-06
70025,11012063,202,12,2023-06
70025,11012466,202,7,2023-06
70025,11012777,202,6,2023-06
70025,11013103,202,5,2023-06
70025,11018591,202,12,2023-06
70025,11018628,202,7,2023-06
70028,11017794,266,11,2023-06
70028,11016618,266,6,2023-06
70028,11017795,266,8,2023-06
70028,11017861,266,10,2023-06
70028,11011793,266,6,2023-06
70028,109700246,266,7,2023-06
70028,11011794,266,10,2023-06
70028,11014620,266,10,2023-06
70028,11012881,266,10,2023-06
70028,11018455,266,13,2023-06
70028,11018403,266,13,2023-06
70028,11016502,266,6,2023-06
70028,11018452,266,9,2023-06
70028,11017438,266,10,2023-06
70028,11011762,266,6,2023-06
70028,11011811,266,13,2023-06
70028,11015037,266,10,2023-06
70028,11015038,266,10,2023-06
70031,15000666,206,9,2023-01
70031,110750937,206,5,2023-01
70031,11011794,206,13,2023-01
70031,11014620,206,10,2023-01
70031,11018221,206,11,2023-01
70031,11016611,206,8,2023-01
70031,11013302,206,13,2023-01
70034,110300910,208,6,2023-05
70034,11014386,208,5,2023-05
70034,11014096,208,12,2023-05
70034,11013305,208,12,2023-05
70034,11012955,208,7,2023-05
70034,11011783,208,9,2023-05
70034,11014122,208,9,2023-05
70034,11012944,208,5,2023-05
70034,101000034,208,9,2023-05
70034,11013431,208,8,2023-05
70034,11014324,208,13,2023-05
70034,11017470,208,11,2023-05
70034,11016454,208,9,2023-05
70034,11010621,208,10,2023-05
70034,11011119,208,9,2023-05
70034,11011839,208,7,2023-05
70034,104200146,208,8,2023-05
70034,11010778,208,12,2023-05
70037,11011845,210,10,2023-06
70037,11011847,210,2,2023-06
70037,11011850,210,10,2023-06
70037,11012228,210,8,2023-06
70037,11018144,210,8,2023-06
70037,11018145,210,8,2023-06
70037,11018146,210,9,2023-06
70037,11018379,210,13,2023-06
70037,11019071,210,9,2023-06
70037,15003658,210,12,2023-06
70037,11015565,210,9,2023-06
70037,11015581,210,11,2023-06
70037,102300012,210,6,2023-06
70037,105650069,210,11,2023-06
70037,105650077,210,6,2023-06
70037,15003592,210,13,2023-06
70037,15003653,210,6,2023-06
70037,11015504,210,9,2023-06
70037,11015505,210,12,2023-06
70037,11018532,210,5,2023-06
70037,11018833,210,8,2023-06
70037,11018837,210,11,2023-06
70037,11018844,210,5,2023-06
70037,15003769,210,6,2023-06
70037,15003770,210,11,2023-06
70037,11017422,210,10,2023-06
70037,11017423,210,7,2023-06
70037,11018591,210,13,2023-06
70037,11018628,210,9,2023-06
70037,11013845,210,5,2023-06
70040,11016454,212,6,2023-02
70040,11013313,212,11,2023-02
70040,11019381,212,5,2023-02
70040,11014332,212,11,2023-02
70040,11011780,212,7,2023-02
70040,11014751,212,11,2023-02
70040,11016549,212,7,2023-02
70040,11016548,212,13,2023-02
70040,11014367,212,13,2023-02
70040,11014401,212,13,2023-02
70040,11011793,212,7,2023-02
70040,109700246,212,9,2023-02
70040,11011794,212,10,2023-02
70040,11018671,212,10,2023-02
70040,111650989,212,6,2023-02
70040,11016489,212,11,2023-02
70040,11014086,212,5,2023-02
70040,11015398,212,5,2023-02
70040,11015546,212,6,2023-02
70040,11015560,212,8,2023-02
70040,11015561,212,5,2023-02
70040,11015565,212,7,2023-02
70040,11015581,212,13,2023-02
70040,102300012,212,5,2023-02
70040,105650069,212,12,2023-02
70040,15003505,212,6,2023-02
70040,11013826,212,5,2023-02
70040,11014875,212,10,2023-02
70040,11014876,212,6,2023-02
70043,15003487,214,7,2023-06
70043,15003507,214,12,2023-06
70043,15003592,214,6,2023-06
70043,15003489,214,13,2023-06
70043,15003502,214,5,2023-06
70043,11010802,214,8,2023-06
70043,11011964,214,13,2023-06
70043,11012063,214,12,2023-06
70043,11012466,214,8,2023-06
70043,11010580,214,10,2023-06
70043,11010582,214,7,2023-06
70043,11010585,214,7,2023-06
70043,11010083,214,6,2023-06
70043,11010096,214,8,2023-06
70043,15003728,214,13,2023-06
70043,15003732,214,9,2023-06
70043,15003551,214,5,2023-06
70043,104200146,214,8,2023-06
70043,11010778,214,8,2023-06
70043,11010779,214,6,2023-06
70043,11015774,214,13,2023-06
70043,103300399,214,6,2023-06
70043,15003585,214,13,2023-06
70043,15000105,214,5,2023-06
70043,11016502,214,11,2023-06
70043,11018452,214,6,2023-06
70043,11017438,214,12,2023-06
70043,11017422,214,8,2023-06
70043,11017423,214,8,2023-06
70043,11018591,214,13,2023-06
70043,11018628,214,13,2023-06
70043,11018667,214,11,2023-06
70043,11010593,214,8,2023-06
70043,11010608,214,5,2023-06
70043,11010611,214,8,2023-06
70043,11010614,214,10,2023-06
70043,11010620,214,9,2023-06
70043,11012926,214,11,2023-06
70043,11013145,214,9,2023-06
70046,109150272,216,11,2023-03
70046,109150264,216,11,2023-03
70046,11013225,216,5,2023-03
70046,11014348,216,6,2023-03
70046,11015694,216,9,2023-03
70046,11019381,216,5,2023-03
70046,11014332,216,9,2023-03
70046,11011780,216,11,2023-03
70046,11014751,216,7,2023-03
70046,11016549,216,10,2023-03
70046,11016548,216,5,2023-03
70046,11014367,216,5,2023-03
70046,11014401,216,12,2023-03
70046,11011793,216,12,2023-03
70046,11015099,216,7,2023-03
70046,110300910,216,5,2023-03
70046,11014386,216,5,2023-03
70046,11014096,216,10,2023-03
70046,11014351,216,6,2023-03
70046,15003492,216,7,2023-03
70046,15003524,216,6,2023-03
70046,15003527,216,12,2023-03
70046,15003526,216,5,2023-03
70046,15003523,216,8,2023-03
70046,15003546,216,6,2023-03
70046,15003891,216,7,2023-03
70046,15003592,216,12,2023-03
70046,11010101,216,9,2023-03
70046,11010102,216,5,2023-03
70049,11012777,218,7,2023-02
70049,11013103,218,5,2023-02
70049,11013104,218,9,2023-02
70049,11013147,218,6,2023-02
70049,11016722,218,10,2023-02
70049,11010585,218,11,2023-02
70049,11012549,218,5,2023-02
70049,11013073,218,6,2023-02
70049,11010102,218,13,2023-02
70049,11010111,218,12,2023-02
70049,11010112,218,6,2023-02
70049,11010118,218,7,2023-02
70049,11011452,218,9,2023-02
70049,11011455,218,13,2023-02
70049,15002795,218,6,2023-02
70049,15002914,218,6,2023-02
70049,15003018,218,9,2023-02
70049,15003045,218,13,2023-02
70049,15003463,218,5,2023-02
70049,11011762,218,9,2023-02
70049,11011811,218,12,2023-02
70049,11011881,218,11,2023-02
70049,11015482,218,12,2023-02
70049,11015483,218,12,2023-02
70049,11018668,218,7,2023-02
70049,11018933,218,9,2023-02
70049,11019040,218,12,2023-02
70049,11019041,218,11,2023-02
70049,11019185,218,8,2023-02
70049,11010621,218,7,2023-02
70049,11011119,218,11,2023-02
70049,11011839,218,12,2023-02
70049,11011889,218,8,2023-02
70049,11011890,218,10,2023-02
70052,11017219,220,12,2023-01
70052,11017220,220,13,2023-01
70052,11018608,220,7,2023-01
70052,13131260,220,6,2023-01
70052,14003138,220,8,2023-01
70052,11013225,220,13,2023-01
70052,11014348,220,9,2023-01
70052,11016457,220,12,2023-01
70052,11017471,220,8,2023-01
70052,11016447,220,7,2023-01
70052,11015641,220,12,2023-01
70052,109700246,220,8,2023-01
70052,11011794,220,8,2023-01
70052,11014620,220,10,2023-01
70052,11018221,220,7,2023-01
70052,11016611,220,9,2023-01
70052,11014386,220,12,2023-01
70052,11014096,220,13,2023-01
70052,11010111,220,13,2023-01
70052,11010112,220,8,2023-01
70052,11010118,220,10,2023-01
70052,11011452,220,8,2023-01
70052,11011455,220,8,2023-01
70052,15003599,220,10,2023-01
70055,15003539,222,10,2023-05
70055,11011845,222,8,2023-05
70055,11011847,222,2,2023-05
70055,11011850,222,5,2023-05
70055,11012228,222,5,2023-05
70055,15003500,222,7,2023-05
70055,11016974,222,6,2023-05
70055,11017774,222,5,2023-05
70055,11017776,222,12,2023-05
70055,11018144,222,8,2023-05
70055,11018145,222,5,2023-05
70055,11013073,222,8,2023-05
70055,15003893,222,6,2023-05
70055,11011455,222,6,2023-05
70055,11011460,222,10,2023-05
70055,11014086,222,12,2023-05
70055,11015398,222,6,2023-05
70055,11015546,222,13,2023-05
70055,11015560,222,10,2023-05
70055,11018532,222,5,2023-05
70055,11018833,222,10,2023-05
70055,11018837,222,13,2023-05
70055,11018844,222,7,2023-05
70055,11018845,222,7,2023-05
70055,15002916,222,7,2023-05
70055,15002921,222,10,2023-05
70055,15002922,222,8,2023-05
70055,15003117,222,8,2023-05
70055,11017762,222,11,2023-05
70055,11016666,222,10,2023-05
70055,11013305,222,10,2023-05
70058,15003487,224,13,2023-02
70058,15003507,224,5,2023-02
70058,15003491,224,8,2023-02
70058,15003489,224,11,2023-02
70058,15003502,224,6,2023-02
70058,11010802,224,6,2023-02
70058,11011964,224,6,2023-02
70058,11012063,224,9,2023-02
70058,11012466,224,12,2023-02
70058,15003893,224,13,2023-02
70058,15004236,224,12,2023-02
70058,11015560,224,8,2023-02
70058,11015561,224,12,2023-02
70058,11015565,224,13,2023-02
70058,11015581,224,7,2023-02
70058,102300012,224,6,2023-02
70058,105650069,224,5,2023-02
70058,15003486,224,9,2023-02
70058,15003484,224,13,2023-02
70058,15003485,224,12,2023-02
70058,15004169,224,9,2023-02
70058,15004190,224,5,2023-02
70061,11015483,226,7,2023-04
70061,11015484,226,8,2023-04
70061,11015750,226,11,2023-04
70061,11016311,226,6,2023-04
70061,11016372,226,13,2023-04
70061,11017855,226,7,2023-04
70061,11019185,226,13,2023-04
70061,11019187,226,7,2023-04
70061,15000520,226,12,2023-04
70061,100600097,226,12,2023-04
70061,101050015,226,5,2023-04
70061,15002821,226,12,2023-04
70061,11011956,226,7,2023-04
70061,11013495,226,8,2023-04
70061,11013844,226,11,2023-04
70061,11013845,226,8,2023-04
70061,11014132,226,8,2023-04
70061,110750945,226,8,2023-04
70061,110800914,226,8,2023-04
70061,11015690,226,11,2023-04
70061,11013221,226,7,2023-04
70061,11012866,226,11,2023-04
